r0:   => s21 ;
r1:   => s28 ;
r2:   => s25 ;
r3:   => s20 ;
r4:   s20 => ;
r5:   s01 => ;
r6:   s07 => ;
r7:   s28 => ;
r8:   s28 => s24 ;
r9:   s28 => s12 ;
r10:   s28 => s29 ;
r11:   s19 => s22 ;
r12:   s12 + s27 => s05 ;
r13:   s01 + s21 => s18 ;
r14:   s13 + s20 => s24 ;
r15:   s16 + s19 => s25 ;
r16:   s07 + s15 => s30 ;
r17:   s08 + s24 => s05 ;
r18:   s26 + s27 => s29 ;
r19:   s03 + s23 => s26 ;
r20:   s18 => s19 + s20 ;
r21:   s08 => s10 + s18 ;
r22:   s08 => s09 + s28 ;
r23:   s08 => s22 + s24 ;
r24:   s24 => s05 + s22 ;
r25:   s17 => s01 + s25 ;
r26:   s23 => s16 + s28 ;
r27:   s08 => s09 + s22 ;
r28:   s18 => s06 + s09 ;
r29:   s01 => s04 + s20 ;
r30:   s19 + s26 => s24 + s26 ;
r31:   s02 + s15 => s15 + s20 ;
r32:   s19 + s28 => s28 + s30 ;
r33:   s10 + s12 => s12 + s22 ;
r34:   s02 + s25 => s02 + s05 ;
r35:   s24 + s30 => s13 + s24 ;
r36:   s04 + s29 => s04 + s28 ;
r37:   s02 + s23 => s22 + s23 ;
r38:   s12 + s14 => s06 + s12 ;
r39:   s16 + s28 => s13 + s28 ;
r40:   s10 + s24 => s05 + s18 ;
r41:   s05 + s14 => s19 + s25 ;
r42:   s05 + s25 => s06 + s08 ;
r43:   s01 + s25 => s02 + s20 ;
r44:   s03 + s24 => s09 + s12 ;
r45:   s12 + s30 => s09 + s16 ;
r46:   s06 + s19 => s12 + s25 ;
r47:   s20 + s24 => s18 + s21 ;
