r0:   => s07 ;
r1:   => s24 ;
r2:   => s26 ;
r3:   => s33 ;
r4:   s10 => ;
r5:   s34 => ;
r6:   s06 => s27 ;
r7:   s13 => s12 ;
r8:   s05 => s10 ;
r9:   s04 => s09 ;
r10:   s32 => s10 ;
r11:   s09 => s04 ;
r12:   s30 => s10 ;
r13:   s31 => s17 ;
r14:   s22 + s25 => s10 ;
r15:   s04 + s23 => s30 ;
r16:   s06 + s09 => s24 ;
r17:   s22 + s29 => s27 ;
r18:   s09 + s18 => s17 ;
r19:   s20 + s27 => s01 ;
r20:   s11 + s17 => s23 ;
r21:   s12 + s32 => s28 ;
r22:   s04 => s01 + s13 ;
r23:   s34 => s16 + s21 ;
r24:   s03 => s26 + s29 ;
r25:   s28 => s05 + s08 ;
r26:   s20 => s01 + s28 ;
r27:   s04 => s29 + s34 ;
r28:   s03 => s24 + s35 ;
r29:   s22 => s02 + s07 ;
r30:   s17 + s26 => s17 + s20 ;
r31:   s19 + s30 => s29 + s30 ;
r32:   s11 + s21 => s06 + s11 ;
r33:   s18 + s30 => s01 + s30 ;
r34:   s20 + s25 => s15 + s25 ;
r35:   s14 + s32 => s14 + s33 ;
r36:   s24 + s27 => s01 + s27 ;
r37:   s09 + s13 => s13 + s24 ;
r38:   s08 + s14 => s07 + s14 ;
r39:   s21 + s29 => s14 + s29 ;
r40:   s05 + s26 => s01 + s34 ;
r41:   s04 + s27 => s22 + s31 ;
r42:   s04 + s30 => s03 + s25 ;
r43:   s07 + s35 => s15 + s24 ;
r44:   s17 + s27 => s12 + s32 ;
r45:   s07 + s24 => s25 + s28 ;
r46:   s01 + s11 => s12 + s32 ;
r47:   s08 + s30 => s19 + s24 ;
r48:   s10 + s24 => s26 + s28 ;
r49:   s19 + s31 => s21 + s22 ;
