r0:   => s16 ;
r1:   => s32 ;
r2:   => s05 ;
r3:   => s38 ;
r4:   => s06 ;
r5:   => s19 ;
r6:   s15 => ;
r7:   s25 => ;
r8:   s35 => ;
r9:   s27 => ;
r10:   s36 => s32 ;
r11:   s04 => s12 ;
r12:   s28 => s33 ;
r13:   s07 => s23 ;
r14:   s09 => s08 ;
r15:   s17 => s24 ;
r16:   s30 + s32 => s31 ;
r17:   s07 + s30 => s17 ;
r18:   s30 + s39 => s19 ;
r19:   s26 + s31 => s09 ;
r20:   s04 + s26 => s03 ;
r21:   s04 + s13 => s32 ;
r22:   s19 + s33 => s35 ;
r23:   s05 + s06 => s31 ;
r24:   s15 => s29 + s36 ;
r25:   s02 => s29 + s32 ;
r26:   s33 => s15 + s28 ;
r27:   s10 => s15 + s21 ;
r28:   s03 => s20 + s21 ;
r29:   s23 => s22 + s28 ;
r30:   s15 => s25 + s40 ;
r31:   s37 => s23 + s29 ;
r32:   s35 => s12 + s20 ;
r33:   s37 => s10 + s11 ;
r34:   s10 => s01 + s03 ;
r35:   s05 => s17 + s20 ;
r36:   s35 + s37 => s03 + s35 ;
r37:   s20 + s39 => s31 + s39 ;
r38:   s07 + s38 => s13 + s38 ;
r39:   s03 + s34 => s03 + s32 ;
r40:   s23 + s30 => s19 + s30 ;
r41:   s32 + s40 => s20 + s40 ;
r42:   s21 + s24 => s21 + s32 ;
r43:   s17 + s36 => s23 + s36 ;
r44:   s02 + s36 => s09 + s36 ;
r45:   s29 + s33 => s18 + s33 ;
r46:   s19 + s27 => s12 + s22 ;
r47:   s01 + s34 => s08 + s38 ;
r48:   s12 + s30 => s27 + s28 ;
r49:   s12 + s24 => s21 + s34 ;
r50:   s03 + s34 => s22 + s38 ;
r51:   s10 + s26 => s06 + s37 ;
r52:   s11 + s18 => s31 + s34 ;
r53:   s27 + s36 => s24 + s34 ;
r54:   s15 + s22 => s13 + s39 ;
r55:   s24 + s37 => s19 + s31 ;
r56:   s27 + s38 => s24 + s30 ;
r57:   s25 + s31 => s07 + s22 ;
