r0:   => s05 ;
r1:   => s35 ;
r2:   => s20 ;
r3:   => s02 ;
r4:   s31 => ;
r5:   s02 => ;
r6:   s28 => ;
r7:   s18 => ;
r8:   s34 => s05 ;
r9:   s33 => s12 ;
r10:   s22 => s20 ;
r11:   s29 => s11 ;
r12:   s08 + s18 => s06 ;
r13:   s07 + s15 => s03 ;
r14:   s03 + s10 => s14 ;
r15:   s02 + s34 => s29 ;
r16:   s09 + s23 => s12 ;
r17:   s09 + s15 => s23 ;
r18:   s17 + s24 => s25 ;
r19:   s29 + s34 => s24 ;
r20:   s20 => s21 + s32 ;
r21:   s07 => s10 + s30 ;
r22:   s16 => s26 + s27 ;
r23:   s08 => s20 + s30 ;
r24:   s24 => s02 + s17 ;
r25:   s12 => s28 + s35 ;
r26:   s12 => s20 + s31 ;
r27:   s30 => s05 + s09 ;
r28:   s24 => s11 + s23 ;
r29:   s28 => s15 + s26 ;
r30:   s31 + s35 => s02 + s35 ;
r31:   s01 + s03 => s01 + s18 ;
r32:   s11 + s35 => s20 + s35 ;
r33:   s11 + s26 => s09 + s26 ;
r34:   s03 + s06 => s06 + s10 ;
r35:   s09 + s15 => s05 + s15 ;
r36:   s32 + s34 => s12 + s34 ;
r37:   s19 + s33 => s06 + s19 ;
r38:   s06 + s16 => s05 + s16 ;
r39:   s01 + s12 => s01 + s03 ;
r40:   s02 + s18 => s14 + s29 ;
r41:   s27 + s30 => s09 + s25 ;
r42:   s02 + s28 => s06 + s35 ;
r43:   s18 + s20 => s07 + s19 ;
r44:   s22 + s31 => s08 + s12 ;
r45:   s05 + s32 => s03 + s13 ;
r46:   s05 + s15 => s08 + s23 ;
r47:   s03 + s28 => s05 + s32 ;
r48:   s01 + s15 => s13 + s16 ;
r49:   s34 + s35 => s06 + s17 ;
