r0:   s28 => ;
r1:   s06 => ;
r2:   => s38 ;
r3:   => s23 ;
r4:   s28 => s24 ;
r5:   s28 => s22 ;
r6:   s30 => s28 ;
r7:   s10 => s12 ;
r8:   s05 => s38 ;
r9:   s14 => s10 ;
r10:   s13 => s30 ;
r11:   s07 => s15 ;
r12:   s24 => s07 ;
r13:   s34 => s28 ;
r14:   s05 + s07 => s13 ;
r15:   s02 + s29 => s28 ;
r16:   s10 + s16 => s40 ;
r17:   s25 + s37 => s03 ;
r18:   s09 + s36 => s37 ;
r19:   s19 + s22 => s06 ;
r20:   s18 + s24 => s08 ;
r21:   s18 + s37 => s20 ;
r22:   s27 + s30 => s34 ;
r23:   s06 + s28 => s19 ;
r24:   s04 => s22 + s36 ;
r25:   s07 => s26 + s28 ;
r26:   s22 => s15 + s20 ;
r27:   s05 => s10 + s30 ;
r28:   s12 => s14 + s25 ;
r29:   s01 => s24 + s34 ;
r30:   s32 => s27 + s31 ;
r31:   s19 => s05 + s25 ;
r32:   s13 + s29 => s04 + s29 ;
r33:   s03 + s10 => s10 + s18 ;
r34:   s14 + s17 => s14 + s30 ;
r35:   s09 + s33 => s33 + s38 ;
r36:   s26 + s40 => s23 + s40 ;
r37:   s05 + s19 => s04 + s19 ;
r38:   s04 + s35 => s25 + s35 ;
r39:   s04 + s14 => s04 + s34 ;
r40:   s11 + s23 => s09 + s11 ;
r41:   s14 + s24 => s01 + s24 ;
r42:   s22 + s23 => s04 + s27 ;
r43:   s04 + s05 => s21 + s39 ;
r44:   s13 + s18 => s11 + s23 ;
r45:   s21 + s33 => s05 + s09 ;
r46:   s04 + s23 => s11 + s19 ;
r47:   s07 + s16 => s21 + s36 ;
r48:   s08 + s12 => s01 + s05 ;
r49:   s01 + s31 => s11 + s21 ;
r50:   s28 + s33 => s01 + s12 ;
r51:   s33 + s39 => s23 + s29 ;
