r0:   => s29 ;
r1:   => s11 ;
r2:   => s07 ;
r3:   => s05 ;
r4:   => s30 ;
r5:   => s16 ;
r6:   s16 => ;
r7:   s32 => ;
r8:   s26 => ;
r9:   s33 => ;
r10:   s25 => s18 ;
r11:   s27 => s10 ;
r12:   s26 => s33 ;
r13:   s30 => s16 ;
r14:   s05 + s13 => s01 ;
r15:   s22 + s33 => s26 ;
r16:   s21 + s23 => s07 ;
r17:   s07 + s23 => s34 ;
r18:   s16 + s20 => s10 ;
r19:   s16 + s23 => s24 ;
r20:   s27 + s33 => s13 ;
r21:   s03 + s31 => s12 ;
r22:   s13 => s14 + s32 ;
r23:   s27 => s07 + s30 ;
r24:   s24 => s21 + s33 ;
r25:   s24 => s28 + s34 ;
r26:   s33 => s04 + s12 ;
r27:   s26 => s07 + s21 ;
r28:   s28 => s02 + s29 ;
r29:   s25 => s02 + s26 ;
r30:   s03 => s32 + s35 ;
r31:   s25 => s10 + s32 ;
r32:   s11 + s14 => s14 + s18 ;
r33:   s06 + s15 => s15 + s33 ;
r34:   s17 + s25 => s14 + s17 ;
r35:   s30 + s32 => s19 + s32 ;
r36:   s05 + s22 => s22 + s29 ;
r37:   s11 + s33 => s01 + s33 ;
r38:   s09 + s18 => s18 + s33 ;
r39:   s06 + s09 => s09 + s35 ;
r40:   s06 + s23 => s09 + s33 ;
r41:   s01 + s29 => s02 + s09 ;
r42:   s01 + s34 => s13 + s35 ;
r43:   s17 + s32 => s20 + s35 ;
r44:   s22 + s29 => s13 + s15 ;
r45:   s06 + s27 => s20 + s30 ;
r46:   s01 + s19 => s06 + s33 ;
r47:   s10 + s27 => s29 + s33 ;
r48:   s04 + s16 => s01 + s25 ;
r49:   s08 + s32 => s02 + s12 ;
