r0:   => s31 ;
r1:   => s08 ;
r2:   => s13 ;
r3:   => s04 ;
r4:   => s30 ;
r5:   => s16 ;
r6:   s17 => ;
r7:   s35 => ;
r8:   s13 => ;
r9:   s09 => ;
r10:   s20 => s22 ;
r11:   s04 => s07 ;
r12:   s20 => s01 ;
r13:   s03 => s31 ;
r14:   s06 + s21 => s08 ;
r15:   s01 + s07 => s09 ;
r16:   s18 + s27 => s22 ;
r17:   s07 + s18 => s29 ;
r18:   s02 + s07 => s06 ;
r19:   s19 + s30 => s07 ;
r20:   s11 + s26 => s04 ;
r21:   s05 + s10 => s20 ;
r22:   s26 => s27 + s28 ;
r23:   s25 => s21 + s29 ;
r24:   s18 => s01 + s20 ;
r25:   s31 => s08 + s23 ;
r26:   s18 => s08 + s29 ;
r27:   s18 => s01 + s25 ;
r28:   s24 => s06 + s09 ;
r29:   s08 => s05 + s29 ;
r30:   s12 => s01 + s05 ;
r31:   s02 => s04 + s07 ;
r32:   s04 + s23 => s17 + s23 ;
r33:   s15 + s24 => s24 + s35 ;
r34:   s14 + s27 => s10 + s14 ;
r35:   s05 + s10 => s05 + s17 ;
r36:   s10 + s30 => s10 + s13 ;
r37:   s09 + s28 => s22 + s28 ;
r38:   s01 + s14 => s14 + s17 ;
r39:   s04 + s16 => s04 + s30 ;
r40:   s15 + s28 => s28 + s30 ;
r41:   s05 + s32 => s32 + s33 ;
r42:   s05 + s19 => s11 + s12 ;
r43:   s03 + s24 => s08 + s21 ;
r44:   s18 + s26 => s09 + s35 ;
r45:   s21 + s24 => s25 + s34 ;
r46:   s03 + s10 => s11 + s19 ;
r47:   s23 + s29 => s17 + s18 ;
r48:   s02 + s07 => s06 + s29 ;
r49:   s12 + s31 => s04 + s15 ;
