r0:   => s06 ;
r1:   => s05 ;
r2:   => s28 ;
r3:   => s34 ;
r4:   => s01 ;
r5:   => s32 ;
r6:   s28 => ;
r7:   s09 => ;
r8:   s34 => ;
r9:   s24 => ;
r10:   s28 => s27 ;
r11:   s10 => s24 ;
r12:   s19 => s33 ;
r13:   s03 => s28 ;
r14:   s23 => s28 ;
r15:   s18 => s07 ;
r16:   s14 + s17 => s04 ;
r17:   s01 + s33 => s34 ;
r18:   s06 + s09 => s16 ;
r19:   s08 + s26 => s32 ;
r20:   s04 + s32 => s19 ;
r21:   s25 + s27 => s10 ;
r22:   s03 + s34 => s19 ;
r23:   s18 + s27 => s02 ;
r24:   s20 => s07 + s26 ;
r25:   s26 => s15 + s22 ;
r26:   s18 => s24 + s26 ;
r27:   s14 => s15 + s35 ;
r28:   s01 => s08 + s33 ;
r29:   s03 => s23 + s27 ;
r30:   s20 => s15 + s21 ;
r31:   s11 => s07 + s22 ;
r32:   s05 + s12 => s12 + s18 ;
r33:   s11 + s14 => s14 + s27 ;
r34:   s04 + s19 => s04 + s10 ;
r35:   s19 + s29 => s19 + s26 ;
r36:   s18 + s33 => s25 + s33 ;
r37:   s01 + s14 => s01 + s23 ;
r38:   s29 + s34 => s24 + s29 ;
r39:   s24 + s34 => s24 + s32 ;
r40:   s22 + s24 => s15 + s22 ;
r41:   s12 + s18 => s18 + s29 ;
r42:   s33 + s34 => s24 + s35 ;
r43:   s07 + s35 => s04 + s31 ;
r44:   s20 + s21 => s05 + s13 ;
r45:   s10 + s32 => s07 + s25 ;
r46:   s08 + s16 => s30 + s33 ;
r47:   s26 + s28 => s05 + s30 ;
r48:   s14 + s29 => s22 + s31 ;
r49:   s18 + s30 => s12 + s14 ;
r50:   s14 + s25 => s11 + s18 ;
r51:   s01 + s11 => s24 + s28 ;
