r0:   => s03 ;
r1:   => s33 ;
r2:   => s18 ;
r3:   => s14 ;
r4:   => s26 ;
r5:   => s08 ;
r6:   s29 => ;
r7:   s01 => ;
r8:   s24 => ;
r9:   s08 => ;
r10:   s22 => s34 ;
r11:   s08 => s31 ;
r12:   s10 => s19 ;
r13:   s19 => s02 ;
r14:   s02 => s23 ;
r15:   s33 => s22 ;
r16:   s35 => s20 ;
r17:   s26 => s02 ;
r18:   s29 + s31 => s19 ;
r19:   s01 + s05 => s33 ;
r20:   s02 + s10 => s21 ;
r21:   s01 + s35 => s22 ;
r22:   s20 + s29 => s22 ;
r23:   s05 + s19 => s18 ;
r24:   s01 + s32 => s34 ;
r25:   s01 + s02 => s25 ;
r26:   s34 => s17 + s30 ;
r27:   s07 => s13 + s19 ;
r28:   s22 => s18 + s35 ;
r29:   s17 => s33 + s35 ;
r30:   s04 => s19 + s29 ;
r31:   s25 => s26 + s35 ;
r32:   s28 => s02 + s35 ;
r33:   s11 => s26 + s35 ;
r34:   s07 => s12 + s33 ;
r35:   s11 => s09 + s18 ;
r36:   s08 + s35 => s34 + s35 ;
r37:   s04 + s12 => s12 + s22 ;
r38:   s05 + s32 => s06 + s32 ;
r39:   s07 + s24 => s19 + s24 ;
r40:   s29 + s34 => s04 + s34 ;
r41:   s13 + s19 => s07 + s13 ;
r42:   s22 + s27 => s08 + s27 ;
r43:   s24 + s26 => s15 + s24 ;
r44:   s03 + s13 => s01 + s13 ;
r45:   s15 + s30 => s04 + s15 ;
r46:   s08 + s09 => s13 + s31 ;
r47:   s05 + s21 => s24 + s34 ;
r48:   s29 + s35 => s17 + s19 ;
r49:   s09 + s30 => s08 + s19 ;
r50:   s11 + s28 => s02 + s10 ;
r51:   s05 + s08 => s22 + s23 ;
r52:   s03 + s20 => s23 + s35 ;
r53:   s08 + s31 => s21 + s26 ;
