r0:   => s22 ;
r1:   => s32 ;
r2:   => s34 ;
r3:   => s05 ;
r4:   => s19 ;
r5:   => s17 ;
r6:   s34 => ;
r7:   s29 => ;
r8:   s14 => ;
r9:   s31 => ;
r10:   s04 => s06 ;
r11:   s33 => s25 ;
r12:   s12 => s09 ;
r13:   s20 => s07 ;
r14:   s08 => s25 ;
r15:   s30 => s23 ;
r16:   s02 => s22 ;
r17:   s15 => s20 ;
r18:   s02 + s35 => s20 ;
r19:   s04 + s23 => s35 ;
r20:   s07 + s16 => s19 ;
r21:   s07 + s20 => s19 ;
r22:   s03 => s19 + s29 ;
r23:   s13 => s11 + s34 ;
r24:   s16 => s15 + s33 ;
r25:   s03 => s17 + s20 ;
r26:   s15 => s17 + s25 ;
r27:   s21 => s04 + s30 ;
r28:   s20 => s08 + s17 ;
r29:   s35 => s20 + s28 ;
r30:   s15 + s19 => s13 + s15 ;
r31:   s21 + s31 => s08 + s31 ;
r32:   s08 + s32 => s12 + s32 ;
r33:   s19 + s28 => s03 + s28 ;
r34:   s13 + s22 => s15 + s22 ;
r35:   s06 + s28 => s03 + s28 ;
r36:   s03 + s26 => s23 + s26 ;
r37:   s16 + s32 => s03 + s32 ;
r38:   s08 + s30 => s08 + s10 ;
r39:   s01 + s21 => s15 + s21 ;
r40:   s32 + s33 => s02 + s21 ;
r41:   s10 + s35 => s13 + s23 ;
r42:   s01 + s17 => s06 + s24 ;
r43:   s04 + s33 => s07 + s14 ;
r44:   s08 + s17 => s12 + s30 ;
r45:   s02 + s20 => s17 + s18 ;
r46:   s18 + s24 => s08 + s27 ;
r47:   s24 + s33 => s16 + s26 ;
r48:   s13 + s21 => s25 + s34 ;
r49:   s04 + s17 => s06 + s34 ;
