r0:   s07 => ;
r1:   s21 => ;
r2:   s34 => ;
r3:   s24 => ;
r4:   => s27 ;
r5:   => s19 ;
r6:   => s01 ;
r7:   => s28 ;
r8:   => s11 ;
r9:   => s03 ;
r10:   => s22 ;
r11:   => s04 ;
r12:   s12 => s01 ;
r13:   s28 => s14 ;
r14:   s13 + s22 => s27 ;
r15:   s07 + s13 => s18 ;
r16:   s15 + s23 => s34 ;
r17:   s21 + s28 => s04 ;
r18:   s02 + s08 => s35 ;
r19:   s21 + s31 => s29 ;
r20:   s32 + s34 => s06 ;
r21:   s02 + s34 => s17 ;
r22:   s04 + s23 => s27 ;
r23:   s13 + s19 => s22 ;
r24:   s18 + s22 => s09 ;
r25:   s01 + s34 => s20 ;
r26:   s32 => s27 + s29 ;
r27:   s34 => s13 + s24 ;
r28:   s14 + s18 => s02 + s14 ;
r29:   s10 + s14 => s10 + s34 ;
r30:   s08 + s29 => s08 + s17 ;
r31:   s05 + s08 => s05 + s34 ;
r32:   s04 + s08 => s03 + s08 ;
r33:   s04 + s35 => s04 + s29 ;
r34:   s28 + s29 => s18 + s29 ;
r35:   s20 + s24 => s04 + s20 ;
r36:   s30 + s34 => s30 + s33 ;
r37:   s02 + s10 => s02 + s06 ;
r38:   s03 + s05 => s03 + s32 ;
r39:   s04 + s21 => s04 + s13 ;
r40:   s16 + s23 => s16 + s35 ;
r41:   s11 + s16 => s16 + s27 ;
r42:   s12 + s14 => s03 + s14 ;
r43:   s20 + s28 => s04 + s20 ;
r44:   s18 + s30 => s26 + s31 ;
r45:   s02 + s23 => s10 + s30 ;
r46:   s18 + s19 => s01 + s06 ;
r47:   s03 + s14 => s11 + s34 ;
