r0:   => s08 ;
r1:   => s21 ;
r2:   => s22 ;
r3:   => s25 ;
r4:   s19 => ;
r5:   s30 => ;
r6:   s18 => ;
r7:   s38 => ;
r8:   s01 => s13 ;
r9:   s16 => s25 ;
r10:   s29 => s32 ;
r11:   s17 => s40 ;
r12:   s08 => s17 ;
r13:   s14 => s39 ;
r14:   s12 => s23 ;
r15:   s34 + s35 => s24 ;
r16:   s01 + s24 => s37 ;
r17:   s20 + s25 => s03 ;
r18:   s12 + s39 => s21 ;
r19:   s11 + s16 => s02 ;
r20:   s29 + s30 => s19 ;
r21:   s04 + s20 => s34 ;
r22:   s26 => s19 + s24 ;
r23:   s28 => s03 + s40 ;
r24:   s26 => s03 + s10 ;
r25:   s23 => s19 + s36 ;
r26:   s19 => s01 + s18 ;
r27:   s31 => s03 + s34 ;
r28:   s08 => s05 + s38 ;
r29:   s14 => s05 + s06 ;
r30:   s08 => s14 + s33 ;
r31:   s40 => s10 + s27 ;
r32:   s16 => s23 + s35 ;
r33:   s28 => s13 + s18 ;
r34:   s04 + s40 => s04 + s31 ;
r35:   s05 + s32 => s08 + s32 ;
r36:   s24 + s25 => s06 + s24 ;
r37:   s23 + s38 => s04 + s23 ;
r38:   s05 + s09 => s09 + s25 ;
r39:   s01 + s14 => s01 + s21 ;
r40:   s30 + s35 => s16 + s35 ;
r41:   s03 + s12 => s12 + s25 ;
r42:   s35 + s40 => s30 + s40 ;
r43:   s01 + s28 => s01 + s04 ;
r44:   s13 + s32 => s32 + s34 ;
r45:   s13 + s38 => s03 + s13 ;
r46:   s09 + s31 => s12 + s39 ;
r47:   s02 + s06 => s14 + s18 ;
r48:   s20 + s28 => s32 + s34 ;
r49:   s07 + s22 => s04 + s36 ;
r50:   s04 + s22 => s11 + s33 ;
r51:   s18 + s26 => s10 + s13 ;
r52:   s20 + s37 => s09 + s24 ;
r53:   s26 + s27 => s11 + s37 ;
r54:   s01 + s21 => s29 + s36 ;
r55:   s11 + s33 => s34 + s35 ;
