r0:   => s40 ;
r1:   => s04 ;
r2:   => s33 ;
r3:   => s03 ;
r4:   => s07 ;
r5:   => s16 ;
r6:   s10 => ;
r7:   s17 => ;
r8:   s32 => ;
r9:   s39 => ;
r10:   s39 => s24 ;
r11:   s38 => s32 ;
r12:   s21 => s14 ;
r13:   s14 => s15 ;
r14:   s25 => s22 ;
r15:   s23 => s08 ;
r16:   s15 => s06 ;
r17:   s09 => s18 ;
r18:   s07 + s18 => s19 ;
r19:   s09 + s40 => s03 ;
r20:   s13 + s22 => s07 ;
r21:   s14 + s19 => s33 ;
r22:   s23 + s34 => s26 ;
r23:   s31 + s37 => s32 ;
r24:   s04 + s06 => s28 ;
r25:   s32 => s03 + s33 ;
r26:   s39 => s12 + s24 ;
r27:   s28 => s02 + s26 ;
r28:   s40 => s09 + s17 ;
r29:   s22 => s06 + s36 ;
r30:   s14 => s04 + s29 ;
r31:   s07 => s10 + s23 ;
r32:   s16 => s08 + s26 ;
r33:   s23 => s03 + s24 ;
r34:   s15 + s34 => s15 + s18 ;
r35:   s10 + s21 => s06 + s21 ;
r36:   s01 + s21 => s01 + s16 ;
r37:   s12 + s24 => s09 + s12 ;
r38:   s24 + s30 => s27 + s30 ;
r39:   s05 + s32 => s30 + s32 ;
r40:   s14 + s34 => s30 + s34 ;
r41:   s06 + s14 => s06 + s11 ;
r42:   s23 + s34 => s23 + s31 ;
r43:   s15 + s25 => s02 + s25 ;
r44:   s11 + s16 => s11 + s25 ;
r45:   s13 + s36 => s10 + s36 ;
r46:   s12 + s30 => s19 + s32 ;
r47:   s26 + s34 => s04 + s17 ;
r48:   s02 + s14 => s17 + s22 ;
r49:   s02 + s25 => s28 + s35 ;
r50:   s03 + s37 => s07 + s11 ;
r51:   s11 + s30 => s02 + s24 ;
r52:   s05 + s15 => s02 + s21 ;
r53:   s20 + s26 => s09 + s12 ;
r54:   s02 + s17 => s16 + s28 ;
r55:   s10 + s14 => s07 + s32 ;
r56:   s05 + s08 => s06 + s37 ;
