r0:   => s17 ;
r1:   => s27 ;
r2:   => s22 ;
r3:   => s38 ;
r4:   => s25 ;
r5:   => s24 ;
r6:   s35 => ;
r7:   s02 => ;
r8:   s14 => ;
r9:   s38 => ;
r10:   s30 => s20 ;
r11:   s22 => s12 ;
r12:   s40 => s26 ;
r13:   s27 => s24 ;
r14:   s01 => s35 ;
r15:   s40 => s32 ;
r16:   s24 => s04 ;
r17:   s08 + s16 => s09 ;
r18:   s21 + s35 => s09 ;
r19:   s10 + s32 => s12 ;
r20:   s02 + s16 => s12 ;
r21:   s05 + s22 => s20 ;
r22:   s10 + s30 => s06 ;
r23:   s06 => s09 + s17 ;
r24:   s18 => s06 + s36 ;
r25:   s38 => s22 + s29 ;
r26:   s23 => s10 + s26 ;
r27:   s36 => s11 + s35 ;
r28:   s10 => s34 + s36 ;
r29:   s05 => s04 + s16 ;
r30:   s07 => s33 + s39 ;
r31:   s35 => s02 + s15 ;
r32:   s33 => s16 + s24 ;
r33:   s37 => s36 + s38 ;
r34:   s09 + s20 => s09 + s18 ;
r35:   s35 + s38 => s25 + s38 ;
r36:   s17 + s35 => s32 + s35 ;
r37:   s11 + s23 => s11 + s29 ;
r38:   s03 + s16 => s03 + s13 ;
r39:   s05 + s10 => s10 + s21 ;
r40:   s09 + s31 => s30 + s31 ;
r41:   s06 + s34 => s06 + s30 ;
r42:   s21 + s38 => s05 + s21 ;
r43:   s02 + s17 => s04 + s17 ;
r44:   s21 + s34 => s14 + s34 ;
r45:   s13 + s32 => s17 + s32 ;
r46:   s15 + s37 => s07 + s12 ;
r47:   s02 + s24 => s32 + s38 ;
r48:   s14 + s21 => s18 + s23 ;
r49:   s25 + s35 => s10 + s24 ;
r50:   s02 + s09 => s01 + s08 ;
r51:   s34 + s35 => s06 + s32 ;
r52:   s31 + s33 => s17 + s39 ;
r53:   s28 + s32 => s02 + s29 ;
r54:   s07 + s16 => s04 + s06 ;
r55:   s19 + s23 => s32 + s36 ;
