r0:   => s02 ;
r1:   => s33 ;
r2:   => s24 ;
r3:   => s07 ;
r4:   => s05 ;
r5:   s18 => ;
r6:   s11 => ;
r7:   s08 => ;
r8:   s32 => ;
r9:   s03 => s28 ;
r10:   s08 => s23 ;
r11:   s12 => s25 ;
r12:   s16 => s19 ;
r13:   s23 => s08 ;
r14:   s01 => s05 ;
r15:   s19 => s08 ;
r16:   s22 => s31 ;
r17:   s18 + s26 => s04 ;
r18:   s21 + s22 => s35 ;
r19:   s22 + s36 => s32 ;
r20:   s02 + s03 => s10 ;
r21:   s01 + s39 => s14 ;
r22:   s24 + s27 => s33 ;
r23:   s22 + s37 => s19 ;
r24:   s07 + s38 => s13 ;
r25:   s11 => s09 + s35 ;
r26:   s18 => s10 + s23 ;
r27:   s19 => s14 + s35 ;
r28:   s28 => s07 + s36 ;
r29:   s10 => s01 + s18 ;
r30:   s38 => s07 + s25 ;
r31:   s05 => s14 + s37 ;
r32:   s36 => s01 + s20 ;
r33:   s21 => s04 + s25 ;
r34:   s33 => s18 + s39 ;
r35:   s19 => s08 + s40 ;
r36:   s13 + s34 => s13 + s36 ;
r37:   s02 + s30 => s01 + s30 ;
r38:   s08 + s40 => s10 + s40 ;
r39:   s02 + s27 => s15 + s27 ;
r40:   s09 + s18 => s08 + s09 ;
r41:   s26 + s40 => s08 + s40 ;
r42:   s11 + s24 => s24 + s38 ;
r43:   s03 + s13 => s03 + s10 ;
r44:   s08 + s35 => s08 + s29 ;
r45:   s02 + s14 => s02 + s23 ;
r46:   s01 + s06 => s06 + s40 ;
r47:   s12 + s19 => s07 + s12 ;
r48:   s16 + s24 => s01 + s29 ;
r49:   s19 + s25 => s28 + s38 ;
r50:   s13 + s38 => s31 + s32 ;
r51:   s18 + s36 => s29 + s32 ;
r52:   s20 + s24 => s14 + s15 ;
r53:   s04 + s33 => s16 + s39 ;
r54:   s06 + s31 => s11 + s29 ;
r55:   s12 + s28 => s04 + s39 ;
