r0:   => s11 ;
r1:   => s07 ;
r2:   => s25 ;
r3:   => s16 ;
r4:   s39 => ;
r5:   s25 => ;
r6:   s12 => ;
r7:   s04 => ;
r8:   s24 => s11 ;
r9:   s17 => s32 ;
r10:   s18 => s38 ;
r11:   s27 => s13 ;
r12:   s03 => s20 ;
r13:   s05 => s21 ;
r14:   s06 => s35 ;
r15:   s03 => s30 ;
r16:   s02 + s15 => s36 ;
r17:   s06 + s08 => s01 ;
r18:   s05 + s40 => s03 ;
r19:   s18 + s34 => s06 ;
r20:   s11 + s31 => s36 ;
r21:   s28 + s34 => s03 ;
r22:   s13 + s29 => s11 ;
r23:   s31 + s35 => s37 ;
r24:   s17 => s07 + s30 ;
r25:   s25 => s02 + s20 ;
r26:   s27 => s18 + s29 ;
r27:   s19 => s04 + s08 ;
r28:   s06 => s24 + s25 ;
r29:   s04 => s26 + s36 ;
r30:   s17 => s04 + s09 ;
r31:   s05 => s32 + s36 ;
r32:   s18 => s10 + s15 ;
r33:   s16 => s07 + s30 ;
r34:   s20 + s36 => s16 + s36 ;
r35:   s03 + s35 => s03 + s06 ;
r36:   s22 + s30 => s07 + s30 ;
r37:   s32 + s39 => s23 + s32 ;
r38:   s05 + s19 => s16 + s19 ;
r39:   s20 + s37 => s20 + s33 ;
r40:   s36 + s38 => s18 + s38 ;
r41:   s02 + s23 => s06 + s23 ;
r42:   s20 + s33 => s33 + s37 ;
r43:   s17 + s26 => s05 + s17 ;
r44:   s09 + s39 => s14 + s39 ;
r45:   s03 + s24 => s03 + s27 ;
r46:   s26 + s30 => s08 + s32 ;
r47:   s20 + s38 => s05 + s37 ;
r48:   s03 + s08 => s06 + s10 ;
r49:   s06 + s08 => s28 + s31 ;
r50:   s05 + s40 => s07 + s17 ;
r51:   s05 + s16 => s18 + s21 ;
r52:   s30 + s40 => s27 + s37 ;
r53:   s10 + s37 => s24 + s39 ;
r54:   s07 + s22 => s21 + s33 ;
r55:   s09 + s18 => s08 + s14 ;
