r0:   => s04 ;
r1:   => s07 ;
r2:   => s06 ;
r3:   => s15 ;
r4:   s19 => ;
r5:   s26 => ;
r6:   s08 => ;
r7:   s04 => ;
r8:   s31 => s11 ;
r9:   s33 => s10 ;
r10:   s26 => s35 ;
r11:   s18 => s23 ;
r12:   s28 => s35 ;
r13:   s31 => s01 ;
r14:   s21 => s35 ;
r15:   s33 => s25 ;
r16:   s21 + s27 => s17 ;
r17:   s13 + s30 => s17 ;
r18:   s17 + s30 => s32 ;
r19:   s16 + s29 => s19 ;
r20:   s08 + s15 => s27 ;
r21:   s11 + s28 => s14 ;
r22:   s21 => s13 + s32 ;
r23:   s09 => s11 + s24 ;
r24:   s06 => s19 + s21 ;
r25:   s14 => s05 + s24 ;
r26:   s33 => s06 + s31 ;
r27:   s05 => s08 + s14 ;
r28:   s05 => s01 + s11 ;
r29:   s01 => s06 + s11 ;
r30:   s05 => s07 + s32 ;
r31:   s18 => s14 + s26 ;
r32:   s12 + s28 => s12 + s34 ;
r33:   s03 + s19 => s03 + s10 ;
r34:   s12 + s34 => s12 + s35 ;
r35:   s05 + s16 => s05 + s25 ;
r36:   s24 + s28 => s05 + s24 ;
r37:   s26 + s28 => s28 + s32 ;
r38:   s04 + s22 => s22 + s29 ;
r39:   s20 + s23 => s23 + s30 ;
r40:   s21 + s35 => s16 + s21 ;
r41:   s15 + s20 => s15 + s21 ;
r42:   s12 + s16 => s04 + s32 ;
r43:   s18 + s20 => s23 + s29 ;
r44:   s01 + s26 => s09 + s24 ;
r45:   s18 + s27 => s13 + s35 ;
r46:   s07 + s25 => s14 + s20 ;
r47:   s04 + s18 => s19 + s26 ;
r48:   s04 + s10 => s06 + s33 ;
r49:   s14 + s34 => s13 + s28 ;
