r0:   => s09 ;
r1:   => s28 ;
r2:   => s27 ;
r3:   => s26 ;
r4:   => s13 ;
r5:   => s24 ;
r6:   s09 => ;
r7:   s07 => ;
r8:   s14 => ;
r9:   s25 => ;
r10:   s19 => s38 ;
r11:   s09 => s25 ;
r12:   s12 => s13 ;
r13:   s25 => s19 ;
r14:   s08 => s07 ;
r15:   s18 => s08 ;
r16:   s19 => s40 ;
r17:   s11 => s14 ;
r18:   s15 + s30 => s08 ;
r19:   s02 + s33 => s09 ;
r20:   s08 + s22 => s27 ;
r21:   s08 + s18 => s10 ;
r22:   s10 + s22 => s03 ;
r23:   s20 + s36 => s03 ;
r24:   s28 + s29 => s22 ;
r25:   s08 => s09 + s23 ;
r26:   s22 => s15 + s19 ;
r27:   s20 => s09 + s13 ;
r28:   s36 => s03 + s30 ;
r29:   s17 => s07 + s24 ;
r30:   s06 => s34 + s39 ;
r31:   s15 => s07 + s37 ;
r32:   s38 => s10 + s37 ;
r33:   s18 => s28 + s34 ;
r34:   s32 => s13 + s25 ;
r35:   s16 + s31 => s16 + s35 ;
r36:   s21 + s27 => s21 + s39 ;
r37:   s01 + s38 => s01 + s32 ;
r38:   s22 + s25 => s04 + s25 ;
r39:   s07 + s28 => s02 + s28 ;
r40:   s12 + s16 => s12 + s29 ;
r41:   s10 + s38 => s27 + s38 ;
r42:   s05 + s17 => s05 + s34 ;
r43:   s28 + s34 => s13 + s34 ;
r44:   s19 + s31 => s20 + s31 ;
r45:   s28 + s31 => s06 + s31 ;
r46:   s07 + s23 => s15 + s20 ;
r47:   s15 + s22 => s08 + s26 ;
r48:   s05 + s28 => s01 + s24 ;
r49:   s05 + s10 => s23 + s25 ;
r50:   s18 + s35 => s26 + s40 ;
r51:   s11 + s19 => s03 + s10 ;
r52:   s06 + s10 => s14 + s35 ;
r53:   s10 + s24 => s18 + s31 ;
r54:   s05 + s22 => s39 + s40 ;
r55:   s25 + s26 => s02 + s04 ;
r56:   s17 + s27 => s07 + s36 ;
r57:   s11 + s32 => s16 + s25 ;
