r0:   => s29 ;
r1:   => s04 ;
r2:   => s28 ;
r3:   => s25 ;
r4:   => s17 ;
r5:   => s39 ;
r6:   s01 => ;
r7:   s39 => ;
r8:   s28 => ;
r9:   s35 => ;
r10:   s08 => s14 ;
r11:   s19 => s04 ;
r12:   s23 => s29 ;
r13:   s18 => s35 ;
r14:   s34 => s28 ;
r15:   s04 => s07 ;
r16:   s08 + s28 => s19 ;
r17:   s21 + s22 => s20 ;
r18:   s30 + s40 => s38 ;
r19:   s04 + s22 => s19 ;
r20:   s10 + s16 => s06 ;
r21:   s02 + s19 => s10 ;
r22:   s28 + s34 => s32 ;
r23:   s07 => s08 + s34 ;
r24:   s39 => s17 + s37 ;
r25:   s21 => s18 + s23 ;
r26:   s06 => s10 + s29 ;
r27:   s27 => s02 + s34 ;
r28:   s03 => s22 + s36 ;
r29:   s01 => s10 + s39 ;
r30:   s01 => s13 + s17 ;
r31:   s13 => s37 + s40 ;
r32:   s01 => s02 + s39 ;
r33:   s15 => s09 + s11 ;
r34:   s39 => s04 + s22 ;
r35:   s03 + s04 => s03 + s16 ;
r36:   s01 + s38 => s01 + s37 ;
r37:   s12 + s13 => s07 + s12 ;
r38:   s20 + s37 => s20 + s35 ;
r39:   s16 + s37 => s16 + s26 ;
r40:   s05 + s13 => s13 + s28 ;
r41:   s09 + s17 => s09 + s37 ;
r42:   s01 + s26 => s01 + s13 ;
r43:   s01 + s32 => s01 + s26 ;
r44:   s01 + s03 => s01 + s21 ;
r45:   s27 + s35 => s19 + s35 ;
r46:   s15 + s27 => s01 + s38 ;
r47:   s07 + s15 => s36 + s39 ;
r48:   s12 + s33 => s24 + s39 ;
r49:   s11 + s34 => s01 + s02 ;
r50:   s20 + s40 => s01 + s36 ;
r51:   s26 + s40 => s05 + s11 ;
r52:   s09 + s23 => s07 + s22 ;
r53:   s17 + s30 => s22 + s29 ;
r54:   s21 + s38 => s01 + s39 ;
r55:   s08 + s32 => s12 + s22 ;
r56:   s13 + s39 => s12 + s14 ;
r57:   s12 + s40 => s03 + s13 ;
