r0:   => s18 ;
r1:   => s13 ;
r2:   => s22 ;
r3:   => s29 ;
r4:   => s03 ;
r5:   => s10 ;
r6:   s22 => ;
r7:   s07 => ;
r8:   s21 => ;
r9:   s20 => ;
r10:   s28 => s12 ;
r11:   s15 => s25 ;
r12:   s25 => s21 ;
r13:   s25 => s34 ;
r14:   s12 => s29 ;
r15:   s18 + s31 => s17 ;
r16:   s22 + s25 => s14 ;
r17:   s02 + s20 => s01 ;
r18:   s04 + s23 => s09 ;
r19:   s26 + s32 => s27 ;
r20:   s07 + s24 => s13 ;
r21:   s29 + s30 => s39 ;
r22:   s38 => s03 + s20 ;
r23:   s30 => s19 + s25 ;
r24:   s28 => s21 + s32 ;
r25:   s21 => s23 + s31 ;
r26:   s34 => s08 + s14 ;
r27:   s16 => s06 + s21 ;
r28:   s22 => s09 + s27 ;
r29:   s16 => s02 + s32 ;
r30:   s38 => s13 + s19 ;
r31:   s29 => s19 + s31 ;
r32:   s26 => s06 + s38 ;
r33:   s40 => s09 + s35 ;
r34:   s04 + s05 => s05 + s32 ;
r35:   s23 + s26 => s08 + s23 ;
r36:   s34 + s39 => s17 + s34 ;
r37:   s02 + s29 => s02 + s24 ;
r38:   s11 + s31 => s29 + s31 ;
r39:   s17 + s22 => s18 + s22 ;
r40:   s12 + s38 => s12 + s34 ;
r41:   s15 + s22 => s16 + s22 ;
r42:   s03 + s16 => s16 + s34 ;
r43:   s13 + s18 => s18 + s19 ;
r44:   s18 + s36 => s36 + s39 ;
r45:   s04 + s22 => s01 + s04 ;
r46:   s03 + s05 => s16 + s17 ;
r47:   s19 + s26 => s15 + s33 ;
r48:   s38 + s39 => s13 + s28 ;
r49:   s06 + s11 => s16 + s17 ;
r50:   s05 + s27 => s09 + s13 ;
r51:   s14 + s29 => s20 + s38 ;
r52:   s08 + s33 => s09 + s34 ;
r53:   s02 + s20 => s16 + s26 ;
r54:   s18 + s29 => s12 + s19 ;
r55:   s11 + s19 => s03 + s36 ;
r56:   s24 + s26 => s01 + s05 ;
r57:   s03 + s34 => s04 + s24 ;
